1 1 1 1 0. 0. 0. 
2 2 2 -1 0. 2.84 0.  
3 3 2 -1 2.84 0. 0.  
4 4 1 1 2.84 2.84 0.  
5 5 2 -1 0. 0. 2.84
6 6 1 1 0. 2.84 2.84
7 7 1 1 2.84 0. 2.84
8 8 2 -1 2.84 2.84 2.84
