# Time-averaged data for fix myat2
# TimeStep v_longforce
82000 -4.69906
82100 -3.02897
82200 6.53298
82300 10.2191
82400 3.88031
82500 3.99744
82600 -2.46327
82700 2.03325
82800 -5.0772
82900 -1.778
83000 -6.40234
83100 -5.92483
83200 6.8298
83300 5.14291
83400 4.51121
83500 10.5973
83600 0.988321
83700 -2.10369
83800 -4.6116
83900 -10.6043
84000 3.44323
84100 -7.84141
84200 2.55655
84300 9.11833
84400 3.90571
84500 8.60458
84600 -2.62232
84700 -2.86164
84800 4.98297
84900 -5.46413
85000 -5.18081
85100 -8.55719
85200 0.775575
85300 1.55242
85400 9.23471
85500 10.0854
85600 -3.1755
85700 4.27478
85800 -1.63884
85900 -8.55448
86000 1.64488
86100 -9.00595
86200 2.38617
86300 1.29406
86400 1.12829
86500 4.44789
86600 4.53369
86700 4.54586
86800 1.60921
86900 -2.45275
87000 1.45071
87100 -5.99579
87200 0.515992
87300 -5.26581
87400 -3.67884
87500 8.07886
87600 1.50286
87700 8.06341
87800 5.3035
87900 -0.126236
88000 2.97185
88100 -8.67711
88200 -8.70088
88300 -0.359578
88400 -1.65762
88500 3.5204
88600 0.763019
88700 3.92249
88800 9.73552
88900 1.28777
89000 -1.52108
89100 -6.73788
89200 -3.1786
89300 -0.804109
89400 -1.70046
89500 4.40269
89600 -2.30415
89700 5.19976
89800 2.93047
89900 -1.45195
90000 4.63142
90100 0.767491
90200 -3.87859
90300 -1.04126
90400 -2.57264
90500 -0.00793571
90600 1.30662
90700 -0.222245
90800 4.46662
90900 5.60138
91000 6.49739
91100 -6.3354
91200 1.05346
91300 -2.42492
91400 -4.48549
91500 1.90286
91600 -4.82363
91700 7.93856
91800 3.94996
91900 1.02172
92000 1.46454
92100 -6.11786
92200 -7.17617
92300 7.72486
92400 0.0924382
92500 4.99288
92600 4.25916
92700 2.99144
92800 -4.51382
92900 -8.4499
93000 1.47229
93100 1.70947
93200 1.94609
93300 -0.656377
93400 1.11575
93500 3.8344
93600 -0.262677
93700 6.7345
93800 1.22693
93900 -6.08438
94000 -1.12107
94100 -4.047
94200 1.12708
94300 0.425182
94400 0.533482
94500 10.5374
94600 1.28396
94700 -0.573099
94800 -2.11794
94900 -3.91147
95000 1.47914
95100 -6.16709
95200 -2.8897
95300 3.90907
95400 6.58605
95500 7.81828
95600 1.31781
95700 0.23561
95800 -6.08861
95900 -5.28256
96000 3.95285
96100 -7.05612
96200 2.63255
96300 7.14685
96400 1.13508
96500 3.13771
96600 0.912418
96700 3.58403
96800 1.64763
96900 -5.83511
97000 -1.75217
97100 -8.88554
97200 -0.608669
97300 8.29333
97400 6.61031
97500 5.01215
97600 -3.88984
97700 -0.601965
97800 -3.86459
97900 -0.642877
98000 0.45528
98100 -6.52712
98200 7.97728
98300 2.13307
98400 -1.76968
98500 -0.440529
98600 0.726818
98700 3.34093
98800 5.24665
98900 -4.26381
99000 7.89481
99100 -11.447
99200 -0.53238
99300 -2.49422
99400 3.53919
99500 5.30619
99600 -4.10711
99700 3.52358
99800 4.01387
99900 1.16973
100000 0.889333
100100 -8.18841
100200 3.57312
100300 2.59181
100400 -1.99036
100500 5.12414
100600 -1.80438
100700 0.333704
100800 -0.488165
100900 0.413971
101000 1.86387
101100 -7.85164
101200 2.1731
101300 8.45701
101400 1.59844
101500 5.51973
101600 -9.40293
101700 -0.928185
101800 -4.80928
101900 -1.62622
102000 7.04108
102100 -1.17173
102200 2.44535
102300 4.21493
102400 2.02452
102500 4.2649
102600 -5.19541
102700 -4.20546
102800 -2.5657
102900 -0.224347
103000 0.939217
103100 -2.26777
103200 5.04651
103300 5.33365
103400 7.25621
103500 3.28505
103600 -3.44984
103700 -1.57999
103800 -3.69347
103900 -6.33963
104000 0.296244
104100 -4.94242
104200 0.846164
104300 10.2182
104400 5.0754
104500 9.62822
104600 -2.03871
104700 -2.71593
104800 -5.11993
104900 -4.59681
105000 -2.16029
