# Time-averaged data for fix myat1
# TimeStep v_L
50400 43.781
50500 43.781
50600 43.781
50700 43.781
50800 43.781
50900 43.781
51000 43.781
51100 43.981
51200 43.981
51300 43.981
51400 43.981
51500 43.981
51600 43.981
51700 43.981
51800 43.981
51900 43.981
52000 43.981
52100 44.181
52200 44.181
52300 44.181
52400 44.181
52500 44.181
52600 44.181
52700 44.181
52800 44.181
52900 44.181
53000 44.181
53100 44.381
53200 44.381
53300 44.381
53400 44.381
53500 44.381
53600 44.381
53700 44.381
53800 44.381
53900 44.381
54000 44.381
54100 44.581
54200 44.581
54300 44.581
54400 44.581
54500 44.581
54600 44.581
54700 44.581
54800 44.581
54900 44.581
55000 44.581
55100 44.781
55200 44.781
55300 44.781
55400 44.781
55500 44.781
55600 44.781
55700 44.781
55800 44.781
55900 44.781
56000 44.781
56100 44.981
56200 44.981
56300 44.981
56400 44.981
56500 44.981
56600 44.981
56700 44.981
56800 44.981
56900 44.981
57000 44.981
57100 45.181
57200 45.181
57300 45.181
57400 45.181
57500 45.181
57600 45.181
57700 45.181
57800 45.181
57900 45.181
58000 45.181
58100 45.381
58200 45.381
58300 45.381
58400 45.381
58500 45.381
58600 45.381
58700 45.381
58800 45.381
58900 45.381
59000 45.381
59100 45.581
59200 45.581
59300 45.581
59400 45.581
59500 45.581
59600 45.581
59700 45.581
59800 45.581
59900 45.581
60000 45.581
60100 45.781
60200 45.781
60300 45.781
60400 45.781
60500 45.781
60600 45.781
60700 45.781
60800 45.781
60900 45.781
61000 45.781
61100 45.981
61200 45.981
61300 45.981
61400 45.981
61500 45.981
61600 45.981
61700 45.981
61800 45.981
61900 45.981
62000 45.981
62100 46.181
62200 46.181
62300 46.181
62400 46.181
62500 46.181
62600 46.181
62700 46.181
62800 46.181
62900 46.181
63000 46.181
63100 46.381
63200 46.381
63300 46.381
63400 46.381
63500 46.381
63600 46.381
63700 46.381
63800 46.381
63900 46.381
64000 46.381
64100 46.581
64200 46.581
64300 46.581
64400 46.581
64500 46.581
64600 46.581
64700 46.581
64800 46.581
64900 46.581
65000 46.581
65100 46.781
65200 46.781
65300 46.781
65400 46.781
65500 46.781
65600 46.781
65700 46.781
65800 46.781
65900 46.781
66000 46.781
66100 46.981
66200 46.981
66300 46.981
66400 46.981
66500 46.981
66600 46.981
66700 46.981
66800 46.981
66900 46.981
67000 46.981
67100 47.181
67200 47.181
67300 47.181
67400 47.181
67500 47.181
67600 47.181
67700 47.181
67800 47.181
67900 47.181
68000 47.181
68100 47.381
68200 47.381
68300 47.381
68400 47.381
68500 47.381
68600 47.381
68700 47.381
68800 47.381
68900 47.381
69000 47.381
69100 47.581
69200 47.581
69300 47.581
69400 47.581
69500 47.581
69600 47.581
69700 47.581
69800 47.581
69900 47.581
70000 47.581
70100 47.781
70200 47.781
70300 47.781
70400 47.781
70500 47.781
70600 47.781
70700 47.781
70800 47.781
70900 47.781
71000 47.781
71100 47.981
71200 47.981
71300 47.981
71400 47.981
71500 47.981
71600 47.981
71700 47.981
71800 47.981
71900 47.981
72000 47.981
72100 48.181
72200 48.181
72300 48.181
72400 48.181
72500 48.181
72600 48.181
72700 48.181
72800 48.181
72900 48.181
73000 48.181
73100 48.381
73200 48.381
73300 48.381
73400 48.381
73500 48.381
73600 48.381
73700 48.381
73800 48.381
73900 48.381
74000 48.381
74100 48.581
74200 48.581
74300 48.581
74400 48.581
74500 48.581
74600 48.581
74700 48.581
74800 48.581
74900 48.581
75000 48.581
75100 48.781
75200 48.781
75300 48.781
75400 48.781
75500 48.781
75600 48.781
75700 48.781
75800 48.781
75900 48.781
76000 48.781
76100 48.981
76200 48.981
76300 48.981
76400 48.981
76500 48.981
76600 48.981
76700 48.981
76800 48.981
76900 48.981
77000 48.981
77100 49.181
77200 49.181
77300 49.181
77400 49.181
77500 49.181
77600 49.181
77700 49.181
77800 49.181
77900 49.181
78000 49.181
78100 49.381
78200 49.381
78300 49.381
78400 49.381
78500 49.381
78600 49.381
78700 49.381
78800 49.381
78900 49.381
79000 49.381
79100 49.581
79200 49.581
79300 49.581
79400 49.581
79500 49.581
79600 49.581
79700 49.581
79800 49.581
79900 49.581
80000 49.581
80100 49.781
80200 49.781
80300 49.781
80400 49.781
80500 49.781
80600 49.781
80700 49.781
80800 49.781
80900 49.781
81000 49.781
81100 49.981
81200 49.981
81300 49.981
81400 49.981
81500 49.981
81600 49.981
81700 49.981
81800 49.981
81900 49.981
82000 49.981
82100 50.181
82200 50.181
82300 50.181
82400 50.181
82500 50.181
82600 50.181
82700 50.181
82800 50.181
82900 50.181
83000 50.181
83100 50.381
83200 50.381
83300 50.381
83400 50.381
83500 50.381
83600 50.381
83700 50.381
83800 50.381
83900 50.381
84000 50.381
84100 50.581
84200 50.581
84300 50.581
84400 50.581
84500 50.581
84600 50.581
84700 50.581
84800 50.581
84900 50.581
85000 50.581
85100 50.781
85200 50.781
85300 50.781
85400 50.781
85500 50.781
85600 50.781
85700 50.781
85800 50.781
85900 50.781
86000 50.781
86100 50.981
86200 50.981
86300 50.981
86400 50.981
86500 50.981
86600 50.981
86700 50.981
86800 50.981
86900 50.981
87000 50.981
87100 51.181
87200 51.181
87300 51.181
