# Time-averaged data for fix at2
# TimeStep v_fedgeZ f_mysf2[3]
22100 -0.381089 -0.59806
22110 -0.249719 -0.391894
22120 -0.585585 -0.918983
22130 -0.579213 -0.908984
22140 -0.299207 -0.469558
22150 -0.509104 -0.798958
22160 -0.872681 -1.36954
22170 -0.795422 -1.24829
22180 -0.836211 -1.3123
22190 -1.12394 -1.76385
22200 -1.10389 -1.73237
22210 -0.829145 -1.30121
22220 -0.657876 -1.03243
22230 -0.576194 -0.904246
22240 -0.477016 -0.748602
22250 -0.635268 -0.996952
22260 -0.73841 -1.15882
22270 -0.504513 -0.791754
22280 -0.264731 -0.415453
22290 -0.309895 -0.486331
22300 -0.227894 -0.357644
22310 0.0419129 0.0657757
22320 -0.0245393 -0.0385106
22330 -0.234174 -0.367499
22340 -0.0626834 -0.0983717
22350 0.0665696 0.104471
22360 -0.209275 -0.328424
22370 -0.328065 -0.514846
22380 -0.175472 -0.275376
22390 -0.421965 -0.662208
22400 -0.788128 -1.23684
22410 -0.500151 -0.784908
22420 -0.33032 -0.518386
22430 -0.936041 -1.46897
22440 -1.03782 -1.62869
22450 -0.539099 -0.84603
22460 -0.78859 -1.23757
22470 -1.23722 -1.94162
22480 -0.79908 -1.25403
22490 -0.555995 -0.872547
22500 -1.19135 -1.86964
22510 -1.19143 -1.86977
22520 -0.370705 -0.581764
22530 -0.340079 -0.5337
22540 -0.863127 -1.35454
22550 -0.635755 -0.997718
22560 -0.194092 -0.304597
22570 -0.54813 -0.860204
22580 -0.868116 -1.36237
22590 -0.533752 -0.83764
22600 -0.639893 -1.00421
22610 -1.13754 -1.78518
22620 -0.951142 -1.49267
22630 -0.574468 -0.901537
22640 -0.912731 -1.43239
22650 -1.13883 -1.78721
22660 -0.902478 -1.4163
22670 -1.04178 -1.6349
22680 -1.45389 -2.28164
22690 -1.29487 -2.0321
22700 -0.959111 -1.50517
22710 -1.00499 -1.57717
22720 -0.926271 -1.45364
22730 -0.684266 -1.07385
22740 -0.739788 -1.16098
22750 -0.840824 -1.31954
22760 -0.638876 -1.00262
22770 -0.379794 -0.596026
22780 -0.200029 -0.313914
22790 0.0137225 0.0215353
22800 -0.0508081 -0.0797353
22810 -0.358018 -0.561853
22820 -0.39596 -0.621397
22830 -0.190177 -0.298454
22840 -0.35822 -0.56217
22850 -0.567992 -0.891374
22860 -0.347054 -0.544646
22870 -0.231955 -0.364017
22880 -0.54178 -0.850239
22890 -0.767617 -1.20465
22900 -0.720326 -1.13044
22910 -0.947445 -1.48687
22920 -1.10737 -1.73785
22930 -0.643916 -1.01052
22940 -0.437299 -0.686273
22950 -0.969171 -1.52096
22960 -0.942152 -1.47856
22970 -0.342842 -0.538037
22980 -0.466307 -0.731795
22990 -0.758538 -1.19041
23000 -0.21549 -0.338177
23010 0.13939 0.218751
23020 -0.448661 -0.704103
23030 -0.632696 -0.992917
23040 -0.20706 -0.324948
23050 -0.420004 -0.65913
23060 -0.885098 -1.38902
23070 -0.532789 -0.836128
23080 -0.155949 -0.244738
23090 -0.711924 -1.11725
23100 -0.878615 -1.37885
23110 -0.259582 -0.407372
23120 -0.511499 -0.802717
23130 -1.20711 -1.89437
23140 -0.777596 -1.22031
23150 -0.12109 -0.190032
23160 -0.702105 -1.10184
23170 -1.10852 -1.73965
23180 -0.624615 -0.980235
23190 -0.735213 -1.1538
23200 -1.39971 -2.19662
23210 -1.24337 -1.95128
23220 -0.734052 -1.15198
23230 -0.97545 -1.53081
23240 -0.951695 -1.49354
23250 -0.231674 -0.363576
23260 -0.0738946 -0.115966
23270 -0.50872 -0.798356
23280 -0.607036 -0.952648
23290 -0.657194 -1.03136
23300 -1.07939 -1.69393
23310 -1.14745 -1.80075
23320 -0.756685 -1.1875
23330 -0.856183 -1.34364
23340 -1.18792 -1.86425
23350 -1.00199 -1.57246
23360 -0.852972 -1.33861
23370 -1.23593 -1.93959
23380 -1.40338 -2.20239
23390 -1.23688 -1.94108
23400 -1.31608 -2.06538
23410 -1.23866 -1.94388
23420 -0.881461 -1.38331
23430 -1.10831 -1.73931
23440 -1.20518 -1.89134
23450 -0.505613 -0.79348
23460 -0.224017 -0.351559
23470 -0.94583 -1.48433
23480 -1.08216 -1.69828
23490 -0.508011 -0.797243
23500 -0.635725 -0.99767
23510 -1.01153 -1.58743
23520 -0.304461 -0.477804
23530 0.212232 0.333065
23540 -0.685673 -1.07606
23550 -1.01428 -1.59176
23560 -0.366458 -0.575099
23570 -0.748512 -1.17467
23580 -1.75022 -2.74669
23590 -1.46945 -2.30607
23600 -1.00741 -1.58098
23610 -1.64069 -2.5748
23620 -1.4881 -2.33534
23630 -0.250042 -0.392402
23640 -0.354743 -0.556713
23650 -1.23426 -1.93698
23660 -0.878067 -1.37799
23670 -0.186526 -0.292723
23680 -0.617145 -0.968513
23690 -0.819972 -1.28682
23700 -0.160622 -0.25207
23710 -0.0830565 -0.130344
23720 -0.707166 -1.10979
23730 -0.538062 -0.844404
23740 -0.0787264 -0.123549
23750 -0.723798 -1.13589
23760 -1.38464 -2.17298
23770 -1.0985 -1.72392
23780 -1.06043 -1.66418
23790 -1.40291 -2.20164
23800 -1.09346 -1.71602
23810 -0.504029 -0.790993
23820 -0.715034 -1.12213
23830 -0.79811 -1.25251
23840 -0.230753 -0.36213
23850 -0.165059 -0.259035
23860 -0.569775 -0.894172
23870 -0.397701 -0.624128
23880 -0.0752311 -0.118063
23890 -0.471203 -0.739479
23900 -0.696985 -1.09381
23910 -0.460169 -0.722163
23920 -0.53668 -0.842235
23930 -0.732146 -1.14899
23940 -0.549272 -0.861996
23950 -0.515822 -0.809501
23960 -0.810543 -1.27202
23970 -0.567152 -0.890055
23980 -0.271055 -0.425378
23990 -0.516556 -0.810654
24000 -0.533901 -0.837873
24010 -0.145373 -0.228141
24020 -0.289281 -0.45398
24030 -0.623936 -0.979169
24040 -0.264924 -0.415757
24050 0.147002 0.230696
24060 -0.259684 -0.407533
24070 -0.481255 -0.755254
24080 -0.0717593 -0.112615
24090 -0.251447 -0.394607
24100 -0.904694 -1.41977
24110 -0.782193 -1.22753
24120 -0.291578 -0.457586
24130 -0.427246 -0.670495
24140 -0.570954 -0.896022
24150 -0.137687 -0.216079
24160 -0.224998 -0.353099
24170 -0.74299 -1.16601
24180 -0.46541 -0.730388
24190 0.127909 0.200734
24200 -0.532969 -0.836411
24210 -1.22402 -1.92091
24220 -0.740865 -1.16267
24230 -0.632195 -0.99213
24240 -1.24065 -1.947
24250 -0.918233 -1.44102
24260 -0.255453 -0.400894
24270 -0.756048 -1.1865
24280 -1.10918 -1.74068
24290 -0.400853 -0.629076
24300 -0.415219 -0.65162
24310 -1.29017 -2.02472
24320 -1.22843 -1.92783
24330 -0.744462 -1.16832
24340 -1.31341 -2.06118
24350 -1.81609 -2.85007
24360 -1.17474 -1.84357
24370 -0.871705 -1.368
24380 -1.3744 -2.15691
24390 -1.18509 -1.85981
24400 -0.610379 -0.957893
24410 -0.723991 -1.13619
24420 -0.88819 -1.39387
24430 -0.690716 -1.08397
24440 -0.900666 -1.41345
24450 -1.248 -1.95854
24460 -0.839047 -1.31675
24470 -0.520913 -0.817491
24480 -1.00807 -1.58201
24490 -1.02586 -1.60993
24500 -0.604869 -0.949246
24510 -1.05689 -1.65863
24520 -1.50959 -2.36907
24530 -0.948821 -1.48902
24540 -0.557076 -0.874243
24550 -1.15513 -1.81279
24560 -1.25733 -1.97318
24570 -0.767716 -1.20481
24580 -0.908438 -1.42565
24590 -1.11641 -1.75202
24600 -0.61244 -0.961129
24610 -0.787251 -1.23547
24620 -1.38323 -2.17076
24630 -0.852843 -1.3384
24640 -0.174408 -0.273706
24650 -1.05303 -1.65256
24660 -1.76906 -2.77626
24670 -1.18224 -1.85534
24680 -1.20902 -1.89736
24690 -1.99758 -3.13489
24700 -1.50138 -2.35618
24710 -0.580346 -0.910762
24720 -1.43371 -2.24997
24730 -2.19424 -3.44352
24740 -1.51786 -2.38204
24750 -1.2149 -1.9066
24760 -1.90389 -2.98785
24770 -1.40228 -2.20065
24780 -0.293961 -0.461325
24790 -0.698076 -1.09552
24800 -1.39187 -2.18431
