# Time-averaged data for fix myat1
# TimeStep c_mytemp
15000 293.499
20000 293.125
25000 293.12
30000 293.472
35000 293.089
40000 293.241
45000 292.944
50000 293.491
55000 292.861
60000 293.212
65000 292.819
70000 293.259
75000 293.406
80000 293.134
85000 293.199
90000 293.039
95000 293.441
100000 292.739
105000 293.551
110000 293.089
