1	1	1	-0.115	-4.8873	-7.8271	-3.6963e-05	
2	1	1	0	-3.6787	-7.0994	-1.2606e-05	
3	1	1	0	-2.4511	-7.8117	-1.1243e-05	
4	1	1	0	-1.2257	-7.1014	-4.6086e-06	
5	1	1	0	-0.00021413	-7.8127	-5.2561e-06	
10	1	1	-0.115	-4.8867	-4.9558	2.9276e-05	
11	1	1	0	-3.6782	-5.6832	6.1639e-06	
12	1	1	0	-2.4511	-4.9714	5.128e-06	
13	1	1	0	-1.2251	-5.6818	-1.8634e-06	
19	1	1	-0.115	-4.8866	-3.5652	3.1856e-05	
20	1	1	0	-3.6777	-2.8381	1.5974e-05	
21	1	1	0	-2.4505	-3.5497	1.0003e-05	
22	1	1	0	-1.2252	-2.8399	4.1913e-06	
28	1	1	-0.115	-4.8861	-0.69546	-1.2242e-05	
29	1	1	0	-3.6779	-1.4225	4.2691e-06	
30	1	1	0	-2.4507	-0.71055	4.759e-06	
31	1	1	0	-1.2254	-1.4212	5.3677e-06	
73	1	2	0.115	-5.8602	-7.3722	-6.0823e-05	
75	1	2	0.115	-5.8603	-5.4113	4.1878e-05	
76	1	2	0.115	-5.8609	-3.1091	4.7469e-05	
79	1	2	0.115	-5.8604	-1.1506	-3.1807e-05	
14	1	1	0	-0.00036876	-4.9705	-8.9483e-07	
23	1	1	0	-9.8642e-05	-3.5502	2.3101e-07	
32	1	1	0	-0.00034691	-0.71007	3.8889e-06	
6	1	1	0	1.2252	-7.1014	-1.0322e-06	
15	1	1	0	1.2254	-5.6817	2.5623e-06	
24	1	1	0	1.225	-2.8394	3.1905e-06	
33	1	1	0	1.2252	-1.4209	3.9532e-06	
89	1	1	0	2.4505	-7.8126	-7.1094e-06	
90	1	1	0	3.6761	-7.1009	-6.2657e-06	
91	1	1	0	2.4505	-4.9699	4.8781e-06	
92	1	1	0	3.6758	-5.6813	1.6057e-06	
93	1	1	0	2.4503	-3.5499	5.0103e-06	
94	1	1	0	3.6754	-2.8393	9.4674e-06	
95	1	1	0	2.4502	-0.70988	4.3858e-06	
96	1	1	0	3.6755	-1.4204	3.0149e-06	
105	1	1	0	4.9012	-7.813	-2.4992e-06	
106	1	1	0	6.1262	-7.1013	5.2796e-07	
107	1	1	0	4.9008	-4.9695	1.1465e-05	
108	1	1	0	6.1262	-5.6818	9.6256e-06	
109	1	1	0	4.9012	-3.55	1.6781e-05	
110	1	1	0	6.126	-2.8388	1.4029e-05	
111	1	1	0	4.9007	-0.70999	3.8699e-06	
