# Time-averaged data for fix myat1
# TimeStep v_qtot c_q1 c_q2 c_q3 c_q4
112000 -2.22045e-16 0.0121951 0 -0.570125 0.376019
113000 0 0.0184859 0 -0.527662 0.345613
114000 0 0.0166614 0 -0.508272 0.333294
115000 0 0.0155391 0 -0.502454 0.329789
116000 0 0.0190517 0 -0.532116 0.348393
117000 -4.44089e-16 0.0192272 0 -0.519815 0.340135
118000 0 0.0138972 0 -0.527711 0.347175
119000 0 0.0148547 0 -0.549515 0.361392
120000 0 0.0170938 0 -0.549001 0.360303
121000 0 0.0161359 0 -0.501015 0.328631
122000 4.44089e-16 0.0224594 0 -0.504428 0.328799
123000 0 0.017102 0 -0.521302 0.341834
124000 -2.22045e-16 0.0173364 0 -0.499911 0.327496
125000 -4.44089e-16 0.0126114 0 -0.51931 0.342003
126000 0 0.013962 0 -0.524012 0.344687
127000 0 0.0157822 0 -0.537289 0.352932
128000 2.22045e-16 0.0195969 0 -0.491248 0.320967
129000 0 0.0193154 0 -0.525373 0.34381
130000 2.22045e-16 0.0189314 0 -0.523079 0.342409
131000 0 0.0160492 0 -0.504074 0.3307
132000 0 0.0191055 0 -0.511086 0.334356
133000 -1.11022e-16 0.0155511 0 -0.506055 0.332187
134000 0 0.019041 0 -0.50357 0.329366
135000 0 0.0122348 0 -0.555895 0.366519
136000 0 0.0191343 0 -0.537754 0.352125
137000 0 0.0203863 0 -0.51491 0.336478
138000 -1.11022e-16 0.017361 0 -0.507729 0.332699
139000 2.22045e-16 0.0163076 0 -0.53061 0.348304
140000 0 0.0156732 0 -0.524721 0.34459
141000 -2.22045e-16 0.0115459 0 -0.564262 0.372326
142000 0 0.0162422 0 -0.533461 0.350226
143000 1.11022e-16 0.0193157 0 -0.497514 0.325237
144000 0 0.0171179 0 -0.523613 0.34337
145000 -2.22045e-16 0.0224638 0 -0.510011 0.332519
146000 -2.22045e-16 0.0187313 0 -0.490467 0.320735
147000 2.22045e-16 0.0194081 0 -0.505306 0.330401
148000 2.22045e-16 0.018403 0 -0.505024 0.330548
149000 2.22045e-16 0.0154041 0 -0.531294 0.349061
150000 1.11022e-16 0.014216 0 -0.500294 0.32879
151000 2.22045e-16 0.0225854 0 -0.503298 0.328004
152000 2.22045e-16 0.0222461 0 -0.506252 0.330086
153000 -2.22045e-16 0.0169005 0 -0.503941 0.330327
154000 0 0.0177546 0 -0.478757 0.313253
155000 2.22045e-16 0.0147486 0 -0.490301 0.321951
156000 -1.11022e-16 0.0192095 0 -0.475189 0.310389
157000 0 0.0134229 0 -0.483355 0.317762
158000 -1.11022e-16 0.0216127 0 -0.477429 0.311082
159000 -1.11022e-16 0.0134357 0 -0.47873 0.314675
160000 -1.11022e-16 0.0128067 0 -0.489071 0.321778
161000 -1.11022e-16 0.0130843 0 -0.486123 0.319721
162000 0 0.0151433 0 -0.469388 0.307878
163000 -2.22045e-16 0.0183512 0 -0.464262 0.303391
164000 -3.33067e-16 0.0212512 0 -0.482132 0.314338
165000 2.22045e-16 0.0149411 0 -0.495502 0.325354
166000 1.11022e-16 0.0131689 0 -0.493325 0.324494
167000 1.11022e-16 0.025964 0 -0.461916 0.29929
168000 2.22045e-16 0.020187 0 -0.484363 0.316179
169000 0 0.018145 0 -0.481822 0.315167
170000 1.11022e-16 0.0195387 0 -0.46569 0.303947
171000 -3.33067e-16 0.0145269 0 -0.4751 0.311891
172000 -2.22045e-16 0.0202386 0 -0.481883 0.314509
173000 2.22045e-16 0.0249495 0 -0.474651 0.308117
174000 -2.22045e-16 0.0106272 0 -0.506403 0.33406
175000 2.22045e-16 0.0187739 0 -0.501867 0.32832
176000 0 0.0101027 0 -0.528193 0.348761
177000 0 0.0204108 0 -0.508194 0.331992
178000 2.22045e-16 0.0112871 0 -0.509787 0.336096
179000 0 0.0169886 0 -0.516465 0.338647
180000 -2.22045e-16 0.017973 0 -0.510213 0.334151
181000 -2.22045e-16 0.0109421 0 -0.519132 0.342441
182000 2.22045e-16 0.0110532 0 -0.558129 0.368402
183000 0 0.023114 0 -0.507278 0.330481
184000 -2.22045e-16 0.00915076 0 -0.506919 0.334896
185000 0 0.0129852 0 -0.553339 0.364564
186000 2.22045e-16 0.0154635 0 -0.529026 0.347529
187000 0 0.013692 0 -0.504772 0.33195
188000 1.11022e-16 0.0243433 0 -0.473389 0.307478
189000 0 0.0174302 0 -0.463048 0.302888
190000 0 0.0196353 0 -0.435726 0.283939
191000 -4.44089e-16 0.023756 0 -0.443642 0.287843
192000 0 0.0190929 0 -0.458863 0.299544
193000 0 0.0242471 0 -0.443571 0.287632
194000 0 0.014113 0 -0.479897 0.315227
195000 1.11022e-16 0.0124335 0 -0.492867 0.324434
196000 1.11022e-16 0.0134117 0 -0.495386 0.325786
197000 1.11022e-16 0.0226831 0 -0.505467 0.329417
198000 -2.22045e-16 0.0174348 0 -0.514118 0.336934
199000 0 0.0196514 0 -0.522518 0.341795
200000 2.22045e-16 0.0219834 0 -0.490025 0.319355
201000 0 0.0182204 0 -0.498409 0.326199
202000 0 0.0156519 0 -0.531465 0.349092
203000 0 0.0164131 0 -0.545293 0.358057
204000 0 0.0146499 0 -0.568428 0.374069
205000 0 0.0174147 0 -0.502936 0.329486
206000 0 0.014586 0 -0.500147 0.328569
207000 -2.22045e-16 0.0241372 0 -0.492856 0.320525
208000 -2.22045e-16 0.0166187 0 -0.529421 0.347408
209000 -2.22045e-16 0.0194667 0 -0.539106 0.352915
210000 0 0.020164 0 -0.517914 0.338555
211000 2.22045e-16 0.0135315 0 -0.48941 0.321763
212000 2.22045e-16 0.0161766 0 -0.545212 0.358082
213000 2.22045e-16 0.0111505 0 -0.560881 0.370204
214000 2.22045e-16 0.0176324 0 -0.535631 0.35121
215000 0 0.020047 0 -0.519633 0.33974
216000 2.22045e-16 0.0111899 0 -0.5087 0.335404
