1 4 56 59
2 2 55 56
3 2 56 57
4 1 55 58
5 3 11 55
6 6 10 11
7 5 11 12
8 7 5 10
9 6 9 10
10 6 4 5
11 6 5 6
12 6 1 4
13 7 4 13
14 6 1 2
15 7 1 15
16 6 2 3
17 7 2 17
18 6 3 6
19 7 3 22
20 7 6 7
21 6 7 8
22 6 7 20
23 5 8 9
24 3 8 51
25 3 9 57
26 1 57 60
27 1 51 53
28 2 50 51
29 4 50 52
30 2 49 50
31 1 49 54
32 3 20 49
33 5 20 21
34 6 21 22
35 3 21 24
36 6 22 23
37 3 23 26
38 5 19 23
39 1 26 29
40 2 25 26
41 4 25 28
42 2 24 25
43 1 24 27
44 6 17 19
45 3 19 32
46 6 17 18
47 3 18 30
48 5 18 36
49 1 30 35
50 2 30 31
51 4 31 33
52 2 31 32
53 1 32 34
54 6 15 36
55 3 36 39
56 6 15 16
57 3 16 37
58 5 14 16
59 1 37 40
60 2 37 38
61 4 38 41
62 2 38 39
63 1 39 42
64 6 13 14
65 3 14 43
66 6 12 13
67 3 12 45
68 1 45 46
69 2 44 45
70 4 44 48
71 2 43 44
72 1 43 47
73 8 1 6
74 8 1 18
75 8 1 14
76 8 2 23
77 8 2 36
78 8 3 20
79 8 3 19
80 8 3 4
81 8 4 16
82 8 2 5
83 8 5 8
84 8 5 12
85 8 6 9
86 8 6 21
87 8 7 50
88 8 7 22
89 8 8 49
90 8 7 10
91 8 10 13
92 8 4 11
93 8 11 57
94 8 12 43
95 8 13 44
96 8 14 45
97 8 15 38
98 8 13 15
99 8 16 39
100 8 17 31
101 8 15 17
102 8 18 32
103 8 19 30
104 8 21 26
105 8 22 25
106 8 17 22
107 8 23 24
108 8 36 37
109 8 20 51
110 8 9 55
111 8 10 56
