1 1 58 55 56 59
2 1 11 55 56 59
3 1 9 57 56 59
4 1 59 56 57 60
5 2 10 11 55 56
6 1 12 11 55 56
7 2 9 57 56 55
8 1 55 56 57 60
9 1 5 10 11 55
10 2 9 10 11 55
11 1 13 12 11 55
12 1 45 12 11 55
13 1 10 11 55 58
14 1 12 11 55 58
15 1 4 5 10 11
16 1 6 5 10 11
17 1 8 9 10 11
18 2 11 10 9 57
19 1 11 12 45 46
20 1 11 12 45 44
21 2 10 11 12 13
22 1 10 11 12 45
23 1 1 4 5 10
24 2 10 5 4 13
25 1 3 6 5 10
26 2 7 6 5 10
27 2 10 9 57 56
28 1 10 9 57 60
29 1 5 10 9 8
30 1 5 10 9 57
31 1 2 1 4 5
32 1 5 4 1 15
33 1 5 4 13 14
34 2 5 4 13 12
35 2 5 6 7 8
36 1 5 6 7 20
37 1 3 6 5 4
38 1 4 5 6 7
39 2 3 2 1 4
40 1 4 1 2 17
41 1 4 1 15 36
42 2 4 1 15 16
43 1 4 13 12 11
44 1 4 13 12 45
45 1 1 4 13 14
46 1 1 4 13 12
47 1 1 2 3 6
48 1 1 2 3 22
49 1 1 2 17 19
50 1 1 2 17 18
51 1 1 15 16 37
52 1 1 15 16 14
53 1 2 1 15 36
54 1 2 1 15 16
55 1 2 3 6 5
56 1 2 3 6 7
57 1 2 3 22 21
58 1 2 3 22 23
59 1 2 17 18 30
60 1 2 17 18 36
61 2 3 2 17 19
62 1 3 2 17 18
63 1 3 6 7 8
64 1 3 6 7 20
65 1 3 22 23 26
66 1 3 22 23 19
67 1 1 4 5 6
68 1 6 5 4 13
69 2 6 3 22 21
70 1 6 3 22 23
71 1 6 7 8 9
72 1 6 7 8 51
73 1 6 7 20 49
74 1 6 7 20 21
75 2 7 8 9 10
76 1 7 8 9 57
77 1 7 8 51 53
78 2 7 8 51 50
79 2 7 20 21 22
80 1 7 20 21 24
81 2 8 7 20 49
82 1 8 7 20 21
83 1 8 9 57 56
84 1 8 9 57 60
85 1 8 51 50 52
86 2 8 51 50 49
87 1 4 5 10 9
88 2 6 5 10 9
89 1 9 8 51 53
90 1 9 8 51 50
91 1 57 56 55 58
92 2 11 55 56 57
93 1 10 9 8 51
94 1 51 8 9 57
95 1 51 50 49 54
96 2 20 49 50 51
97 1 52 50 51 53
98 1 49 50 51 53
99 2 7 20 49 50
100 1 21 20 49 50
101 1 52 50 49 54
102 1 20 49 50 52
103 1 22 21 20 49
104 1 24 21 20 49
105 1 7 20 49 54
106 1 21 20 49 54
107 1 9 8 7 20
108 2 20 7 8 51
109 1 3 22 21 20
110 1 20 21 22 23
111 1 20 21 24 25
112 1 20 21 24 27
113 2 21 22 23 26
114 1 19 23 22 21
115 1 5 6 3 22
116 2 7 6 3 22
117 2 22 21 24 25
118 1 22 21 24 27
119 1 22 23 26 29
120 2 22 23 26 25
121 2 17 19 23 22
122 1 22 23 19 32
123 1 23 26 25 28
124 2 23 26 25 24
125 1 2 17 19 23
126 1 18 17 19 23
127 1 23 19 32 31
128 1 23 19 32 34
129 1 17 19 23 26
130 1 26 23 19 32
131 2 21 24 25 26
132 1 26 25 24 27
133 1 28 25 26 29
134 1 24 25 26 29
135 1 21 24 25 28
136 1 27 24 25 28
137 1 3 22 21 24
138 2 23 22 21 24
139 1 19 23 26 29
140 1 19 23 26 25
141 2 19 17 18 30
142 1 19 17 18 36
143 1 6 3 2 17
144 2 17 2 3 22
145 2 17 19 32 31
146 1 17 19 32 34
147 1 17 18 30 35
148 2 17 18 30 31
149 2 15 36 18 17
150 1 17 18 36 39
151 1 18 30 31 33
152 2 18 30 31 32
153 1 1 15 36 18
154 1 16 15 36 18
155 1 18 36 39 38
156 1 18 36 39 42
157 1 15 36 18 30
158 1 30 18 36 39
159 2 19 32 31 30
160 1 30 31 32 34
161 1 33 31 30 35
162 1 32 31 30 35
163 1 19 32 31 33
164 1 33 31 32 34
165 1 2 17 19 32
166 2 18 17 19 32
167 1 35 30 18 36
168 1 31 30 18 36
169 2 36 15 16 37
170 1 14 16 15 36
171 1 3 2 1 15
172 1 15 1 2 17
173 2 15 36 39 38
174 1 15 36 39 42
175 1 15 16 37 40
176 2 15 16 37 38
177 2 13 14 16 15
178 1 15 16 14 43
179 1 16 37 38 41
180 2 16 37 38 39
181 1 4 13 14 16
182 1 12 13 14 16
183 1 16 14 43 44
184 1 16 14 43 47
185 1 13 14 16 37
186 1 37 16 14 43
187 2 36 39 38 37
188 1 37 38 39 42
189 1 40 37 38 41
190 1 39 38 37 40
191 1 36 39 38 41
192 1 41 38 39 42
193 1 1 15 36 39
194 2 16 15 36 39
195 1 14 16 37 40
196 1 14 16 37 38
197 1 11 12 13 14
198 2 14 13 12 45
199 1 2 1 4 13
200 2 13 4 1 15
201 2 13 14 43 44
202 1 13 14 43 47
203 1 13 12 45 46
204 2 13 12 45 44
205 1 5 10 11 12
206 1 9 10 11 12
207 1 12 45 44 48
208 2 12 45 44 43
209 2 14 43 44 45
210 1 45 44 43 47
211 1 46 45 44 48
212 1 43 44 45 46
213 1 14 43 44 48
214 1 47 43 44 48
215 1 4 13 14 43
216 2 12 13 14 43
