1 1 55 56 59
2 1 57 56 59
3 2 55 56 57
4 1 56 55 58
5 2 11 55 56
6 1 11 55 58
7 2 10 11 55
8 2 12 11 55
9 2 10 11 12
10 2 5 10 11
11 2 9 10 11
12 2 5 10 9
13 2 4 5 10
14 2 6 5 10
15 2 4 5 6
16 2 1 4 5
17 2 5 4 13
18 2 1 4 13
19 2 2 1 4
20 2 4 1 15
21 2 2 1 15
22 2 1 2 3
23 2 1 2 17
24 2 3 2 17
25 2 2 3 6
26 2 2 3 22
27 2 6 3 22
28 2 3 6 5
29 2 5 6 7
30 2 3 6 7
31 2 6 7 8
32 2 6 7 20
33 2 8 7 20
34 2 7 8 9
35 2 7 8 51
36 2 9 8 51
37 2 8 9 10
38 2 10 9 57
39 2 8 9 57
40 2 9 57 56
41 1 56 57 60
42 1 9 57 60
43 1 8 51 53
44 2 8 51 50
45 1 50 51 53
46 1 51 50 52
47 2 49 50 51
48 1 49 50 52
49 1 50 49 54
50 2 20 49 50
51 1 20 49 54
52 2 7 20 49
53 2 7 20 21
54 2 21 20 49
55 2 20 21 22
56 2 20 21 24
57 2 22 21 24
58 2 3 22 21
59 2 3 22 23
60 2 21 22 23
61 2 22 23 26
62 2 19 23 22
63 2 19 23 26
64 1 23 26 29
65 2 23 26 25
66 1 25 26 29
67 1 26 25 28
68 2 24 25 26
69 1 24 25 28
70 2 21 24 25
71 1 21 24 27
72 1 25 24 27
73 2 17 19 23
74 2 23 19 32
75 2 17 19 32
76 2 2 17 19
77 2 2 17 18
78 2 18 17 19
79 2 17 18 30
80 2 17 18 36
81 2 30 18 36
82 1 18 30 35
83 2 18 30 31
84 1 31 30 35
85 1 30 31 33
86 2 30 31 32
87 1 32 31 33
88 2 19 32 31
89 1 19 32 34
90 1 31 32 34
91 2 15 36 18
92 2 18 36 39
93 2 15 36 39
94 2 1 15 36
95 2 1 15 16
96 2 16 15 36
97 2 15 16 37
98 2 14 16 15
99 2 14 16 37
100 1 16 37 40
101 2 16 37 38
102 1 38 37 40
103 1 37 38 41
104 2 37 38 39
105 1 39 38 41
106 2 36 39 38
107 1 36 39 42
108 1 38 39 42
109 2 13 14 16
110 2 16 14 43
111 2 13 14 43
112 2 4 13 14
113 2 4 13 12
114 2 12 13 14
115 2 11 12 13
116 2 11 12 45
117 2 13 12 45
118 1 12 45 46
119 2 12 45 44
120 1 44 45 46
121 1 45 44 48
122 2 43 44 45
123 1 43 44 48
124 2 14 43 44
125 1 14 43 47
126 1 44 43 47
